00101, 01-07-2024, Weekly Car Rental, 1925, 300.00, 135.00, 435.00
00102, 08-07-2024, Weekly Car Rental, 1925, 300.00, 135.00, 435.00
00103, 15-07-2024, Weekly Car Rental, 1925, 300.00, 135.00, 435.00
00104, 22-07-2024, Weekly Car Rental, 1925, 300.00, 135.00, 435.00
00105, 29-07-2024, Weekly Car Rental, 1925, 300.00, 135.00, 435.00
00106, 30-07-2024, Daily Rental Fee, 1923, 60.00, 9.00, 69.00
00107, 01-08-2024, Monthly Stand Fee, 1923, 175.00, 26.25, 201.25
00108, 01-08-2024, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
00109, 01-08-2024, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
00110, 05-08-2024, Weekly Car Rental, 1924, 300.00, 135.00, 435.00
00111, 12-08-2024, Weekly Car Rental, 1924, 300.00, 45.00, 435.00
00112, 19-07-2024, Weekly Car Rental, 1924, 300.00, 45.00, 435.00
00113, 25-07-2024, Weekly Car Rental, 1924, 300.00, 45.00, 435.00
00114, 27-07-2024, Daily Rental Fee, 1923, 60.00, 9.00, 51.00
00115, 01-08-2024, Monthly Stand Fee, 1923, 175.00, 26.25, 201.25
00116, 01-08-2024, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
00117, 01-08-2024, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
00118, 01-08-2024, Daily Rental Fee, 1923, 60.00, 9.00, 69.00
00119, 02-08-2024, Weekly Car Rental, 1925, 300.00, 45.00, 435.00
00120, 09-08-2024, Weekly Car Rental, 1925, 300.00, 45.00, 435.00
00121, 14-07-2024, Weekly Car Rental, 1925, 300.00, 45.00, 435.00
00122, 21-07-2024, Weekly Car Rental, 1925, 300.00, 45.00, 435.00
00122, 29-07-2024, Weekly Car Rental, 1924, 300.00, 45.00, 435.00
00123, 01-08-2024, Monthly Stand Fee, 1923, 175.00, 26.25, 201.25
00124, 01-08-2024, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
00125, 01-08-2024, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
00126, 06-08-2024, Weekly Car Rental, 1924, 300.00, 45.00, 201.25
00127, 08-08-2024, Daily Rental Fee, 1923, 60.00, 9.00, 69.00

