101, 1922, 011, 03-07-2024, 1, 119.99, 119.99, 18.00, 137.99
101, 1923, 012, 03-07-2024, 1, 89.99, 89.99, 13.50, 102.99
103, 1925, 012, 06-07-2024, 1, 89.99, 89.99, 13.50, 102.99
103, 1922, 012, 08-07-2024, 3, 89.99, 269.97, 40.50, 310.47
104, 1923, 016, 02-08-2024, 1, 179.99, 179.99, 27.00, 206.99
104, 1923, 020, 02-08-2024, 1, 159.99, 159.99, 24.00, 183.99
104, 1923, 012, 02-08-2024, 2, 89.99, 179.98, 27.00, 206.98
105, 1924, 013, 02-07-2024, 1, 3500.00, 3500.00, 525.00, 4025.00 
105, 1924, 017, 09-07-2024, 1, 129.99, 129.99, 19.50, 149.50
106, 1924, 021, 09-07-2024, 1, 99.99, 99.99, 15.00, 114.99
107, 1922, 012, 10-08-2024, 1, 89.99, 89.99, 13.50, 102.99 
108, 1925, 012, 11-08-2024, 1, 89.99, 89.99, 13.50, 102.99 
109, 1922, 012, 12-08-2024, 1, 89.99, 89.99, 13.50, 102.99 
110, 1925, 012, 13-08-2024, 1, 89.99, 89.99, 13.50, 102.99 
